Number,Name,Type
1,A,
2,B,
3,A,
4,B,
5,A,
6,B,
7,A,
8,B,
9,A,
10,B,
11,A,
12,B,
13,A,
14,B,
15,A,
16,B,
17,A,
18,B,
19,A,
20,B,
21,A,
22,B,
23,A,
24,B,
25,A,
26,B,
27,A,
28,B,
29,A,
30,B,
31,A,
32,B,
33,A,
34,B,
35,A,
36,B,
37,A,
38,B,
39,A,
40,B,
41,A,
42,B,
43,A,
44,B,
45,A,
46,B,
47,A,
48,B,
49,A,
50,B,
51,A,
52,B,
53,A,
54,B,
55,A,
56,B,
57,A,
58,B,
59,A,
60,B,
61,A,
62,B,
63,A,
64,B,
65,A,
66,B,
67,A,
68,B,
69,A,
70,B,
71,A,
72,B,
73,A,
74,B,
75,A,
76,B,
77,A,
78,B,
79,A,
80,B,
81,A,
82,B,
83,A,
84,B,
85,A,
86,B,
87,A,
88,B,
89,A,
90,B,
91,A,
92,B,
93,A,
94,B,
95,A,
96,B,
97,A,
98,B,
99,A,
100,B,
